"Club","About","URL"
"Case Club at The University of Washington","The Case Club (C-Squared) at the University of Washington aims to spread the knowledge and enjoyment of business case competitions to the broader community of students at UW. By teaching members, the skills required to succeed in consulting, and applying those skills in the fun and competitive environment of internal and external case competitions, we can provide useful public speaking, slide-making, analysis, teamwork, and leadership skills to students aiming to pursue a business career.","https://huskylink.washington.edu/organization/caseclub"
"Dawg Pack","Dawg Pack is a student-led entity with the goal to create an elite student fan environment in college athletics and support a community of fans on campus at the University of Washington. This group works to involve students at sporting events, provide opportunities for campus collaboration, and unite the UW student body. Students who attend games are loyal and dedicated, and they deserve leadership and resources that allow them an immersive and personalized relationship with the teams and community they love. Dawg Pack will communicate with fellow RSOs, and UW Athletics to recognize various student groups who are important contributors to student life at UW.  Those who are especially passionate about Husky Athletics and/or a future in working in collegiate athletics will have the opportunity to apply for executive board and assistant positions, in which they are able to exemplify the Husky spirit and build valuable professional skills as they pursue a degree and career.","https://huskylink.washington.edu/organization/dawgpack"
"AADOCR Student Research Group at the University of Washington","To promote student research in dentistry and its related disciplines.To promote the advancement of dental research and related aspects.To further the stated aims and objectives of the AADOCR and the IADR as they relate to student research.Create a research-oriented space for UW members to discuss oral health research to advance their knowledge and work.Inform students, residents, and fellows about the wide variety of career-development, leadership, and networking opportunities by AADOCR for those in all stages of their education including pre-dental, dental, Master’s, PhD, dual degree, residency, and postdoctoral research","https://huskylink.washington.edu/organization/aadrsrguw"
"Ability","Ability's goal is to create disability community and accessibility awareness within the computing community.Our club is open to all UW students, but based in the Allen School for Computer Science & Engineering.The computing community at UW is a tight-knit community. The reason that it feels so tight knit is because of the various student groups we have, such as GEN1 (supporting first generation college students), ACM-W (supporting women in computing), Q++ (supporting LGBTQ+ students), and several more. Ability focuses on supporting students with disabilities in tech fields.Ability has:Social events where students interested in Ability's mission can meet each other and discuss their experiences with disability and accessibility.Disability info sessions with speakers from tech-focused groups such as AccessComputing and DO-IT.Diversity discussions with speakers with disabilities from the tech industry talk about how they navigate large companies like Microsoft, Google, and Facebook with a disability.Career events where we invite recruiters to talk about disability-related programs and opportunities at their companies.","https://huskylink.washington.edu/organization/ability"
"Academic and Recreational Graduate Oceanographers","ARGO is a means for graduate students in the School of Oceanography to support one another and provide resources to further mental/physical health, educational, and career goals. We also serve as a recreational organization, providing a space for members to connect with one another outside of academic work. We intend for ARGO to provide structure and continuity to the activities of the Oceanography graduate student body.","https://huskylink.washington.edu/organization/uwargo"
"Academy of Managed Care Pharmacy","To advance the quality and affordability of our health care system by promoting the application of medication-related research and education.","https://huskylink.washington.edu/organization/uwamcp"
"AcademyHealth Student Chapter at University of Washington","AcademyHealth defines health services research as the science of study that determines what works, for whom, at what cost, and under what circumstances.  It studies how our health system works, how to support patients and providers in choosing the right care, and how to improve health through care delivery.The AcademyHealth Student Chapter at UW seeks to acquaint students with the fields of health services research and health policy, and to enhance the learning and professional development experience for students in health services research and health policy.","https://huskylink.washington.edu/organization/acadh"
"Access Student Resource Group","The Access Student Resource Group (ASRG) has been formed to enhance the academic and social experience of Access students and to create opportunities for Access students to help the educational and service goals of the University and its greater community. For questions or comments, write to ASRG at asrg@uw.edu","https://huskylink.washington.edu/organization/asrg"
"ACGN Club at UW","ACGN Club at UW is committed to providing an inclusive, diverse, and friendly community for ACGN fans to make friends, imagine and create things together, and promoting ACGN culture.In addition, ACGN Club at UW focuses on exploring the broad prospects of different disciplines in the creation of ACGN culture and promoting cross-disciplinary and cross-cultural exchanges. We will scrutinize the controversy and value of AI in ACGN creation, involve the fusion of interdisciplinary fields such as design, ethics, and technology, and improve ourselves as individuals while sharing our common hobbies with each other.","https://huskylink.washington.edu/organization/acgn_club_at_uw"
"ACS Student Chapter and Phi Lambda Upsilon Chemistry Honorary Society","This is a joint organization to coordinate service and social activities for students interested in chemistry or biochemistry.Join our Discord! https://discord.gg/2UBANaDAF7","https://huskylink.washington.edu/organization/radicals"
